User_ID,Session_ID,Date,Page_Type,Action,Product_Viewed,Cart_Added,Purchase_Made
5330,6199,2023-09-16,Product_Page,Initiated,Product_B,1,0
3250,3684,2023-09-14,Landing_Page,Added_to_Cart,Product_C,0,0
5355,3305,2023-09-01,Landing_Page,Added_to_Cart,Product_D,1,0
6141,3173,2023-09-09,Product_Page,Viewed,Product_C,0,0
5958,3650,2023-09-06,Cart,Viewed,Product_D,0,0
4681,7702,2023-09-01,Thank_You,Initiated,Product_A,0,0
4242,2186,2023-09-12,Thank_You,Added_to_Cart,Product_D,0,0
6261,6153,2023-09-15,Landing_Page,Viewed,Product_C,1,0
3637,4753,2023-09-01,Landing_Page,Viewed,Product_A,0,0
4369,7471,2023-09-21,Checkout,Viewed,Product_D,0,0
2206,4044,2023-08-31,Thank_You,Added_to_Cart,Product_B,0,0
6056,8227,2023-09-27,Cart,Initiated,Product_B,0,0
6857,6508,2023-09-19,Thank_You,Initiated,Product_C,1,0
6165,1085,2023-09-07,Cart,Initiated,Product_D,1,0
6454,9989,2023-09-04,Product_Page,Added_to_Cart,Product_D,0,0
3733,1548,2023-08-30,Checkout,Viewed,Product_C,1,0
9478,9962,2023-09-20,Product_Page,Viewed,Product_D,1,0
2296,7561,2023-09-03,Cart,Initiated,Product_A,1,0
7906,2830,2023-09-07,Checkout,Purchase,Product_B,0,1
9097,8255,2023-09-23,Checkout,Purchase,Product_C,0,1
5633,4947,2023-09-03,Cart,Purchase,Product_A,1,1
7162,2336,2023-09-25,Landing_Page,Purchase,Product_D,1,1
8698,6976,2023-09-20,Thank_You,Added_to_Cart,Product_C,1,0
3497,6827,2023-09-04,Thank_You,Added_to_Cart,Product_B,1,0
9771,8768,2023-09-05,Landing_Page,Initiated,Product_D,1,0
452,2877,2023-08-29,Checkout,Added_to_Cart,Product_A,1,0
7333,5221,2023-09-13,Product_Page,Initiated,Product_C,1,0
4382,7093,2023-09-02,Product_Page,Purchase,Product_D,0,1
904,2491,2023-09-10,Product_Page,Viewed,Product_D,1,0
4896,9062,2023-09-11,Landing_Page,Added_to_Cart,Product_C,1,0
2756,6737,2023-08-30,Product_Page,Viewed,Product_A,0,0
8363,6643,2023-09-16,Product_Page,Purchase,Product_D,0,1
7957,7427,2023-09-15,Landing_Page,Added_to_Cart,Product_C,0,0
5875,9558,2023-09-07,Landing_Page,Added_to_Cart,Product_B,1,0
9128,2872,2023-09-23,Checkout,Viewed,Product_A,1,0
385,3579,2023-09-24,Product_Page,Initiated,Product_A,1,0
9317,8047,2023-09-04,Landing_Page,Initiated,Product_D,1,0
709,1196,2023-09-12,Cart,Viewed,Product_C,0,0
2460,3297,2023-09-08,Product_Page,Viewed,Product_A,1,0
4452,2684,2023-09-25,Product_Page,Viewed,Product_D,0,0
9473,9528,2023-08-30,Cart,Purchase,Product_D,1,1
1959,2792,2023-09-14,Product_Page,Initiated,Product_B,1,0
6876,3859,2023-09-23,Checkout,Purchase,Product_A,1,1
1495,3337,2023-09-11,Product_Page,Viewed,Product_D,1,0
4774,5720,2023-09-07,Checkout,Purchase,Product_D,1,1
6646,3137,2023-09-20,Product_Page,Viewed,Product_A,0,0
427,5224,2023-09-25,Thank_You,Viewed,Product_B,0,0
6950,6822,2023-09-12,Landing_Page,Initiated,Product_C,1,0
2289,8864,2023-09-05,Cart,Purchase,Product_A,1,1
1195,3350,2023-09-12,Thank_You,Viewed,Product_A,0,0
155,3506,2023-09-01,Checkout,Added_to_Cart,Product_D,1,0
5125,2004,2023-09-26,Product_Page,Viewed,Product_A,0,0
